,country,year,sex_code,sex_label,cancer_code,cancer_site,cases_per_100k
35,Iceland,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",28.9
36,Iceland,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",27.8
37,Estonia,2012,M,Male,CICDTUME,Malignant neoplasms,321.9
38,Estonia,2008,M,Male,CICDTUME,Malignant neoplasms,285.2
39,Türkiye,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",26.0
40,Türkiye,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",26.5
41,Germany,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",38.8
42,Germany,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",42.4
43,Germany,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",46.7
44,Germany,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",50.3
45,Türkiye,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",34.7
46,India,2012,M,Male,CICDTUME,Malignant neoplasms,92.4
47,Greece,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",11.5
48,Denmark,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",33.0
49,Denmark,2000,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",30.5
50,Denmark,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.7
51,Denmark,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.2
52,Greece,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",11.2
53,Greece,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",15.6
54,Greece,2000,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",13.6
55,United States,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",49.5
56,United States,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",44.2
57,United States,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",61.9
58,New Zealand,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",23.4
59,New Zealand,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",20.5
60,New Zealand,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",23.2
61,Costa Rica,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,67.5
62,France,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",33.4
63,France,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",33.3
64,France,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",30.0
65,France,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",29.4
66,Luxembourg,2008,F,Female,CICDTUME,Malignant neoplasms,254.4
67,Luxembourg,2012,F,Female,CICDTUME,Malignant neoplasms,259.6
68,Luxembourg,2002,F,Female,CICDTUME,Malignant neoplasms,254.2
69,Luxembourg,2000,F,Female,CICDTUME,Malignant neoplasms,233.2
70,Norway,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.8
71,Norway,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.4
72,Norway,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",34.8
73,Türkiye,2008,F,Female,CICDTUME,Malignant neoplasms,112.8
74,Türkiye,2002,F,Female,CICDTUME,Malignant neoplasms,91.2
75,Türkiye,2012,F,Female,CICDTUME,Malignant neoplasms,161.6
76,Lithuania,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.4
77,Portugal,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",6.0
78,Portugal,2000,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",5.5
79,Spain,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.3
80,Lithuania,2012,M,Male,CICDTUME,Malignant neoplasms,311.8
81,Japan,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,51.5
82,Japan,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,42.7
83,Japan,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,32.7
84,United Kingdom,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.5
85,United Kingdom,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",34.7
86,United Kingdom,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",30.0
87,United Kingdom,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",31.8
88,Norway,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",37.1
89,Colombia,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",12.5
90,Indonesia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,40.3
91,Norway,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.8
92,Norway,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.2
93,Iceland,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",34.9
94,Iceland,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",34.0
95,Sweden,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,82.7
96,Sweden,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,87.8
97,Sweden,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,81.0
98,Sweden,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,80.4
99,Denmark,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,31.2
100,Denmark,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,91.3
101,Denmark,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,72.5
102,Iceland,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",28.9
103,Denmark,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,39.3
104,Mexico,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",7.0
105,Indonesia,2012,_T,Total,CICDTUME,Malignant neoplasms,133.5
106,Mexico,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",7.9
107,Mexico,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",8.9
108,Belgium,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",43.8
109,Belgium,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",43.8
110,Belgium,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.8
111,Belgium,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",35.3
112,Finland,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.1
113,Finland,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",21.8
114,Finland,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",22.8
115,Finland,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",20.1
116,Indonesia,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.3
117,United States,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.2
118,United States,2002,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.1
119,United States,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",33.7
120,Costa Rica,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",16.4
121,Italy,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",34.4
122,Italy,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",34.2
123,Italy,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",24.5
124,Italy,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",26.7
125,Slovenia,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",33.9
126,Slovenia,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",31.5
127,Colombia,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,51.3
128,Japan,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.2
129,Japan,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.5
130,Japan,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",37.9
131,Italy,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,9.1
132,Italy,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.7
133,Italy,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.7
134,Italy,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,8.1
135,Slovenia,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.7
136,Slovenia,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",17.5
137,Belgium,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.7
138,India,2012,_T,Total,CICDTUME,Malignant neoplasms,94.0
139,Belgium,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.7
140,Belgium,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.5
141,Belgium,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.9
142,Canada,2008,M,Male,CICDTUME,Malignant neoplasms,325.9
143,Canada,2002,M,Male,CICDTUME,Malignant neoplasms,327.4
144,Canada,2012,M,Male,CICDTUME,Malignant neoplasms,320.8
145,Luxembourg,2012,_T,Total,CICDTUME,Malignant neoplasms,280.3
146,Luxembourg,2008,_T,Total,CICDTUME,Malignant neoplasms,284.0
147,Luxembourg,2002,_T,Total,CICDTUME,Malignant neoplasms,296.7
148,Luxembourg,2000,_T,Total,CICDTUME,Malignant neoplasms,271.2
149,Hungary,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,57.9
150,Hungary,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,63.0
151,Switzerland,2002,_T,Total,CICDTUME,Malignant neoplasms,284.6
152,Switzerland,2000,_T,Total,CICDTUME,Malignant neoplasms,247.3
153,Switzerland,2012,_T,Total,CICDTUME,Malignant neoplasms,287.0
154,Hungary,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,54.5
155,Switzerland,2008,_T,Total,CICDTUME,Malignant neoplasms,269.3
156,United Kingdom,2002,_T,Total,CICDTUME,Malignant neoplasms,273.6
157,United Kingdom,2000,_T,Total,CICDTUME,Malignant neoplasms,247.3
158,Estonia,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",22.2
159,Estonia,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",22.6
160,Hungary,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,18.0
161,Hungary,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,16.6
162,Hungary,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,15.7
163,United Kingdom,2012,_T,Total,CICDTUME,Malignant neoplasms,272.9
164,United Kingdom,2008,_T,Total,CICDTUME,Malignant neoplasms,269.4
165,Czechia,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,16.2
166,Czechia,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,13.8
167,Czechia,2012,F,Female,CICDTUME,Malignant neoplasms,258.9
168,Czechia,2008,F,Female,CICDTUME,Malignant neoplasms,252.5
169,Czechia,2002,F,Female,CICDTUME,Malignant neoplasms,247.6
170,New Zealand,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,91.9
171,New Zealand,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,85.0
172,Chile,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",13.3
173,Chile,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",14.0
174,Ireland,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",34.9
175,Ireland,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.1
176,Canada,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,79.8
177,Canada,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,83.2
178,Canada,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,84.3
179,Ireland,2002,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",35.1
180,Ireland,2000,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.5
181,Sweden,2002,_T,Total,CICDTUME,Malignant neoplasms,264.7
182,Sweden,2000,_T,Total,CICDTUME,Malignant neoplasms,256.1
183,China (People’s Republic of),2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",14.2
184,Chile,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",17.1
185,Chile,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.9
186,Sweden,2012,_T,Total,CICDTUME,Malignant neoplasms,270.0
187,Sweden,2008,_T,Total,CICDTUME,Malignant neoplasms,259.7
188,Indonesia,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",15.9
189,Brazil,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",12.2
190,Brazil,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,59.5
191,Switzerland,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,56.6
192,Switzerland,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,107.2
193,Switzerland,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",36.3
194,Switzerland,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.0
195,Switzerland,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",42.7
196,Switzerland,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.7
197,Switzerland,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,91.3
198,Switzerland,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,77.3
199,Netherlands,2000,_T,Total,CICDTUME,Malignant neoplasms,276.5
200,Netherlands,2012,_T,Total,CICDTUME,Malignant neoplasms,304.8
201,Israel,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.6
202,Israel,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,5.6
203,Netherlands,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.3
204,Netherlands,2000,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.3
205,Netherlands,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.8
206,Netherlands,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,5.4
207,Netherlands,2008,_T,Total,CICDTUME,Malignant neoplasms,289.9
208,Netherlands,2002,_T,Total,CICDTUME,Malignant neoplasms,283.0
209,Colombia,2012,M,Male,CICDTUME,Malignant neoplasms,175.2
210,Colombia,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",11.0
211,Chile,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,34.8
212,Chile,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,40.1
213,Iceland,2008,M,Male,CICDTUME,Malignant neoplasms,315.1
214,Iceland,2002,M,Male,CICDTUME,Malignant neoplasms,288.4
215,Iceland,2012,M,Male,CICDTUME,Malignant neoplasms,299.5
216,Canada,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.6
217,Canada,2002,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,7.7
218,Canada,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,6.3
219,Czechia,2008,M,Male,CICDTUME,Malignant neoplasms,343.6
220,Czechia,2002,M,Male,CICDTUME,Malignant neoplasms,330.9
221,Czechia,2012,M,Male,CICDTUME,Malignant neoplasms,345.9
222,Iceland,2002,F,Female,CICDTUME,Malignant neoplasms,284.5
223,Iceland,2012,F,Female,CICDTUME,Malignant neoplasms,274.2
224,Iceland,2008,F,Female,CICDTUME,Malignant neoplasms,273.1
225,New Zealand,2002,F,Female,CICDTUME,Malignant neoplasms,298.8
226,New Zealand,2012,F,Female,CICDTUME,Malignant neoplasms,274.3
227,Estonia,2012,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",27.2
228,Estonia,2008,_T,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",25.4
229,New Zealand,2008,F,Female,CICDTUME,Malignant neoplasms,287.1
230,Germany,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,77.3
231,Germany,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,82.7
232,Germany,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,60.5
233,Germany,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,53.6
234,Italy,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,74.4
235,Italy,2000,F,Female,CICDMNBR,Malignant neoplasms of female breast,64.9
236,Switzerland,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.6
237,Switzerland,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",21.5
238,Switzerland,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",25.2
239,Switzerland,2000,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.8
240,Italy,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,91.3
241,Italy,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,86.3
242,Estonia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,51.6
243,Estonia,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,50.2
244,Slovenia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,10.5
245,Slovenia,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,13.7
246,Canada,2012,_T,Total,CICDTUME,Malignant neoplasms,295.7
247,Canada,2008,_T,Total,CICDTUME,Malignant neoplasms,296.6
248,Canada,2002,_T,Total,CICDTUME,Malignant neoplasms,299.9
249,Estonia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,19.9
250,Estonia,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,15.8
251,Türkiye,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",9.1
252,Türkiye,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",8.5
253,Türkiye,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",13.1
254,Japan,2012,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",23.5
255,Japan,2008,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",22.8
256,Japan,2002,F,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",26.5
257,Netherlands,2002,M,Male,CICDTUME,Malignant neoplasms,314.6
258,Netherlands,2008,M,Male,CICDTUME,Malignant neoplasms,318.4
259,Netherlands,2000,M,Male,CICDTUME,Malignant neoplasms,299.6
260,Netherlands,2012,M,Male,CICDTUME,Malignant neoplasms,327.8
261,Norway,2008,F,Female,CICDMNBR,Malignant neoplasms of female breast,76.2
262,Norway,2002,F,Female,CICDMNBR,Malignant neoplasms of female breast,74.8
263,Norway,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,73.1
264,Belgium,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,102.3
265,Belgium,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,74.2
266,Belgium,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,57.5
267,Belgium,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,90.9
268,Australia,2008,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,4.9
269,Portugal,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",8.3
270,Portugal,2008,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",6.0
271,Latvia,2012,F,Female,CICDMNBR,Malignant neoplasms of female breast,52.1
272,South Africa,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",28.7
273,Colombia,2012,F,Female,CICDCRVX,Malignant neoplasms of cervix uteri,18.7
274,Canada,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",42.5
275,Canada,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",40.3
276,Canada,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",55.8
277,Denmark,2002,F,Female,CICDTUME,Malignant neoplasms,285.5
278,Denmark,2000,F,Female,CICDTUME,Malignant neoplasms,296.9
279,Denmark,2012,F,Female,CICDTUME,Malignant neoplasms,328.8
280,Denmark,2008,F,Female,CICDTUME,Malignant neoplasms,312.9
281,Israel,2012,_T,Total,CICDTUME,Malignant neoplasms,283.2
282,Israel,2008,_T,Total,CICDTUME,Malignant neoplasms,288.3
283,United Kingdom,2002,M,Male,CICDMNPR,Malignant neoplasms of prostate,52.2
284,United Kingdom,2000,M,Male,CICDMNPR,Malignant neoplasms of prostate,40.2
285,United Kingdom,2012,M,Male,CICDMNPR,Malignant neoplasms of prostate,73.2
286,United Kingdom,2008,M,Male,CICDMNPR,Malignant neoplasms of prostate,79.7
287,Slovenia,2012,_T,Total,CICDTUME,Malignant neoplasms,296.3
288,Slovenia,2008,_T,Total,CICDTUME,Malignant neoplasms,264.8
289,Poland,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",31.9
290,Latvia,2012,F,Female,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",7.9
291,Poland,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",37.2
292,Poland,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",32.7
293,Greece,2002,M,Male,CICDTUME,Malignant neoplasms,234.9
294,Greece,2000,M,Male,CICDTUME,Malignant neoplasms,225.1
295,Greece,2012,M,Male,CICDTUME,Malignant neoplasms,194.8
296,Greece,2008,M,Male,CICDTUME,Malignant neoplasms,187.6
297,Netherlands,2002,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",40.9
298,Netherlands,2000,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",41.6
299,Netherlands,2012,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",47.5
300,Netherlands,2008,M,Male,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",43.3
301,Norway,2012,F,Female,CICDTUME,Malignant neoplasms,277.1
302,Norway,2008,F,Female,CICDTUME,Malignant neoplasms,265.7
303,Norway,2002,F,Female,CICDTUME,Malignant neoplasms,260.5
304,Sweden,2002,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",17.8
305,Sweden,2000,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",16.8
306,Sweden,2012,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",19.1
307,Sweden,2008,_T,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",18.5
308,New Zealand,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.6
309,New Zealand,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",37.3
310,New Zealand,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.2
311,Finland,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.9
312,Finland,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",33.4
313,Finland,2000,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",36.8
314,Finland,2012,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.9
315,Iceland,2008,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",29.3
316,Iceland,2002,M,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",30.0
